comment,cleaned_comment,case_folding,normalization,label,text_en
"Soal scratchable sih mau ipong 16 ke bwh pun sama aja. Tapi emg buat finishing ip 17 pro series ini emg agak scratchable aja. Tapi sperti yg koh Efendi buktiin yaaa klo lecet tinggal dilap aje, beres. Hape hape andro jg gitu kok sama aje",Soal scratchable sih mau ipong 16 ke bwh pun sama aja Tapi emg buat finishing ip 17 pro series ini emg agak scratchable aja Tapi sperti yg koh Efendi buktiin yaaa klo lecet tinggal dilap aje beres Hape hape andro jg gitu kok sama aje,soal scratchable sih mau ipong 16 ke bwh pun sama aja tapi emg buat finishing ip 17 pro series ini emg agak scratchable aja tapi sperti yg koh efendi buktiin yaaa klo lecet tinggal dilap aje beres hape hape andro jg gitu kok sama aje,soal scratchable sih mau iphone 16 ke bwh pun sama saja tapi memang buat finishing iphone 17 pro series ini memang agak scratchable saja tapi seperti yang koh efendi membuktikan ya kalau lecet tinggal dilap saja beres hape hape andro juga begitu kok sama saja,1,"Regarding scratchability, whether it's an iPhone 16 or below, it's the same, but for finishing the iPhone 17 Pro series, it's a bit scratchable, but as Effendi has proven, if it gets scratched, just wipe it and it's fine, Android phones are the same, it's the same."
bang bahas color os dong??,bang bahas color os dong,bang bahas color os dong,abang bahas color os dong,1,"bro, let's talk about color OS"
lucu bgt casenya??,lucu bgt casenya,lucu bgt casenya,lucu banget casenya,1,the case is really cute
Kapan layar lipatmu fi buat I-Phone.. Jangan cuma ngerubah casing aja,Kapan layar lipatmu fi buat IPhone Jangan cuma ngerubah casing aja,kapan layar lipatmu fi buat iphone jangan cuma ngerubah casing aja,kapan layar lipatmu di buat iphone jangan cuma ngerubah casing saja,0,"When your folding screen is made for an iPhone, don't just change the casing"
"Dulu pernah mau coba pegang IP. cuma saat itu pinjem untuk test lalu mau di Oprek2, buat nambah2 program yang gak ada. Dan sejak saat itulah sadar, IP bukan buat ku... <br><br>malah kemudian takjub dengan HP china yang bisa di macem2in dan kalau perbaikan &quot;lebih mudah di cari&quot;. <br><br>tapi gak ketinggalan lihat hal baru apa yng IP buat. tapi lama kelamaan malah bertanya2, apa ini baru? perasaan di merek ini sudah ada. disini sudah ada.  <br><br>cuma disisi lain, kalau udh bicara prosesor, chipset masih sangat bersaing. baik di laptop atau di HP.",Dulu pernah mau coba pegang IP cuma saat itu pinjem untuk test lalu mau di Oprek2 buat nambah2 program yang gak ada Dan sejak saat itulah sadar IP bukan buat ku malah kemudian takjub dengan HP china yang bisa di macem2in dan kalau perbaikan quotlebih mudah di cariquot tapi gak ketinggalan lihat hal baru apa yng IP buat tapi lama kelamaan malah bertanya2 apa ini baru perasaan di merek ini sudah ada disini sudah ada  cuma disisi lain kalau udh bicara prosesor chipset masih sangat bersaing baik di laptop atau di HP,dulu pernah mau coba pegang ip cuma saat itu pinjem untuk test lalu mau di oprek2 buat nambah2 program yang gak ada dan sejak saat itulah sadar ip bukan buat ku malah kemudian takjub dengan hp china yang bisa di macem2in dan kalau perbaikan quotlebih mudah di cariquot tapi gak ketinggalan lihat hal baru apa yng ip buat tapi lama kelamaan malah bertanya2 apa ini baru perasaan di merek ini sudah ada disini sudah ada  cuma disisi lain kalau udh bicara prosesor chipset masih sangat bersaing baik di laptop atau di hp,dulu pernah mau coba pegang iphone cuma saat itu pinjem untuk test lalu mau di oprek2 buat nambah2 program yang tidak ada dan sejak saat itulah sadar iphone bukan buat ku malah kemudian takjub dengan hp china yang bisa di macem2in dan kalau perbaikan quotlebih mudah di cariquot tapi tidak ketinggalan lihat hal baru apa yang iphone buat tapi lama kelamaan malah bertanya2 apa ini baru perasaan di merek ini sudah ada disini sudah ada cuma disisi lain kalau sudah bicara prosesor chipset masih sangat bersaing baik di laptop atau di hp,0,"In the past, I wanted to try holding an iPhone, but at that time I borrowed it to test it, then I wanted to repair it to add programs that weren't there, and from that moment I realized that the iPhone wasn't for me, but then I was amazed at Chinese cellphones that could be modified and if they were repaired, ""it was easier to find,"" but I didn't miss out on seeing what new things the iPhone created, but after a while I started to wonder, was this new, the feeling of this brand is that it's already here, it's already here, but on the other hand, when it comes to processors, the chipset is still very competitive, both on laptops and cellphones."
"REVIEW 17 PRO MAX DONG, GAK MAU TW HARUS REVIEW ??",REVIEW 17 PRO MAX DONG GAK MAU TW HARUS REVIEW ,review 17 pro max dong gak mau tw harus review ,review 17 pro max dong tidak mau tau harus review,1,17 pro max review dong don't want to know what to review
iphone air yg putih sekilas kek hp dummy wkwkwk,iphone air yg putih sekilas kek hp dummy wkwkwk,iphone air yg putih sekilas kek hp dummy wkwkwk,iphone air yang putih sekilas kayak hp dummy wkwkwk,1,The white water iPhone at first glance looks like a dummy cellphone hahaha
kok kayak annoy gt sama intonasi suara dia.. pas penutup setiap kalimat.. atau cuma perasaan ku aj?,kok kayak annoy gt sama intonasi suara dia pas penutup setiap kalimat atau cuma perasaan ku aj,kok kayak annoy gt sama intonasi suara dia pas penutup setiap kalimat atau cuma perasaan ku aj,kok kayak annoy begitu sama intonasi suara dia pas penutup setiap kalimat atau cuma perasaan ku saja,0,Why does Annoy sound like her voice has the same intonation at the end of each sentence or is that just my feeling?
??????,,,nan,2,in
Okeeeeh tuyul2...,Okeeeeh tuyul2,okeeeeh tuyul2,okeeeeh tuyul2,2,okay tuyul2
keren,keren,keren,keren,2,keren
15 Pro Max update ios 26 kok cepet boros ama panas ya cover belakang?,15 Pro Max update ios 26 kok cepet boros ama panas ya cover belakang,15 pro max update ios 26 kok cepet boros ama panas ya cover belakang,15 pro max update ios 26 kok cepat boros sama panas ya cover belakang,0,"15 pro max update ios 26 how come it wastes quickly and gets hot, right?"
"Yang jelas soal desain lebih suka yang dulu, lebih berkarakter ??",Yang jelas soal desain lebih suka yang dulu lebih berkarakter ,yang jelas soal desain lebih suka yang dulu lebih berkarakter ,yang jelas soal desain lebih suka yang dulu lebih berkarakter,0,What is clear about the design is that I prefer the previous one with more character
Bang tolong reveiuw meizu 22 dong ??,Bang tolong reveiuw meizu 22 dong ,bang tolong reveiuw meizu 22 dong ,abang tolong reveiuw meizu 22 dong,1,"Brother, please review the Meizu 22"
Fiturnya itu itu aja gak bnyak perubahan,Fiturnya itu itu aja gak bnyak perubahan,fiturnya itu itu aja gak bnyak perubahan,fiturnya itu itu saja tidak banyak perubahan,0,The features alone don't change much
lu reviewnya lebay banget malah jatohnya kek ngejelekin iphone sama hal2 gak penting yg gak perlu di bahas sebenarnya,lu reviewnya lebay banget malah jatohnya kek ngejelekin iphone sama hal2 gak penting yg gak perlu di bahas sebenarnya,lu reviewnya lebay banget malah jatohnya kek ngejelekin iphone sama hal2 gak penting yg gak perlu di bahas sebenarnya,kamu reviewnya lebay banget malah jatohnya kayak ngejelekin iphone sama tidak penting yang tidak perlu di bahas sebenarnya,0,"Your review is really rude, in fact it feels like you are badmouthing the iPhone as unimportant, which doesn't really need to be discussed."
"kok banyak user andro pada koar koar frame iphone pake aluminium ya, dibilangya beli mahal mahal cuman dapet bahan kerupuk. Padahal kan rata rata flagship android pake aluminium juga??",kok banyak user andro pada koar koar frame iphone pake aluminium ya dibilangya beli mahal mahal cuman dapet bahan kerupuk Padahal kan rata rata flagship android pake aluminium juga,kok banyak user andro pada koar koar frame iphone pake aluminium ya dibilangya beli mahal mahal cuman dapet bahan kerupuk padahal kan rata rata flagship android pake aluminium juga,kok banyak user andro pada koar koar frame iphone pakai aluminium ya dibilangya beli mahal mahal cuman dapat bahan kerupuk padahal kan rata rata flagship android pakai aluminium juga,0,"How come so many Android users complain that the iPhone frame uses aluminum? They say they buy it expensively and only get crackers, even though the average Android flagship uses aluminum too."
thumbnail pengundang viewers??,thumbnail pengundang viewers,thumbnail pengundang viewers,thumbnail pengundang viewers,0,viewer invitation thumbnail
iPhone 16 nya di mahar berapa bang,iPhone 16 nya di mahar berapa bang,iphone 16 nya di mahar berapa bang,iphone 16 ya di mahar berapa abang,1,"iPhone 16 yes, how much is the dowry brother?"
Mantap bang top ??,Mantap bang top ,mantap bang top ,mantap abang top,2,great bro
Review Xiaomi Pad Mini bang,Review Xiaomi Pad Mini bang,review xiaomi pad mini bang,review xiaomi pad mini abang,1,review xiaomi pad mini bro
Apple intelligent ??,Apple intelligent ,apple intelligent ,apple intelligent,0,apple intelligent
Berapa harganyq,Berapa harganyq,berapa harganyq,berapa harganyq,1,how much does it cost
bang siap2 adu prosesor terkuat mediatek dimensity 9500 elite gen 5 dl,bang siap2 adu prosesor terkuat mediatek dimensity  elite gen 5 dl,bang siap2 adu prosesor terkuat mediatek dimensity  elite gen 5 dl,abang siap2 adu prosesor terkuat mediatek dimensity elite gen 5 dulu,1,"Brother, get ready to compete with the strongest Mediatek Dimensity Elite Gen 5 processor first"
Baru ini liat series ganjil ga bagus biasanya yang ganjil lebih bagus dri yang genap,Baru ini liat series ganjil ga bagus biasanya yang ganjil lebih bagus dri yang genap,baru ini liat series ganjil ga bagus biasanya yang ganjil lebih bagus dri yang genap,baru ini lihat series ganjil tidak bagus biasanya yang ganjil lebih bagus dari yang genap,0,"I recently saw that the odd series is not good, usually the odd ones are better than the even ones"
Baru aja beli 16pm bulan ini masa harus upgrade lagi sih??,Baru aja beli 16pm bulan ini masa harus upgrade lagi sih,baru aja beli 16pm bulan ini masa harus upgrade lagi sih,baru saja beli 16pm bulan ini masa harus upgrade lagi sih,1,"I just bought 16pm this month, I have to upgrade again"
"Versusin sama Xiaomi 17 pro max , bang ??",Versusin sama Xiaomi 17 pro max  bang ,versusin sama xiaomi 17 pro max  bang ,versusin sama xiaomi 17 pro max abang,1,"Versus Xiaomi 17 Pro Max, bro"
bang ada info xioami pad 7s pro?,bang ada info xioami pad 7s pro,bang ada info xioami pad 7s pro,abang ada info xioami pad 7s pro,1,"bro, there is information about the Xiaomi Pad 7s Pro"
Gas versusin 15T pro bang,Gas versusin 15T pro bang,gas versusin 15t pro bang,gas versusin 15t pro abang,1,gas versusin 15t pro bro
Bang bahas origin os 6 global,Bang bahas origin os 6 global,bang bahas origin os 6 global,abang bahas origin os 6 global,1,"Brother, discuss Origin OS 6 Global"
"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=234"">3:54</a> Mas .. mas .. plis ya jangan light cosplay jadi JerryRigEverything ??",a href Mas  mas  plis ya jangan light cosplay jadi JerryRigEverything ,a href mas  mas  plis ya jangan light cosplay jadi jerryrigeverything ,a href mas mas plis ya jangan light cosplay jadi jerryrigeverything,1,"A href bro, bro, please don't light cosplay as Jerry RigEverything"
Nadanya kayak bacain spoiler anime??,Nadanya kayak bacain spoiler anime,nadanya kayak bacain spoiler anime,nadanya kayak bacain spoiler anime,0,The tone is like reading anime spoilers
napa casenya ada tulisan POCI bang ??????,napa casenya ada tulisan POCI bang ,napa casenya ada tulisan poci bang ,kenapa casenya ada tulisan poci abang,1,"Why does the case say teapot, brother?"
ditunggu compare Xiaomi 15&amp;15T Pro nya bang,ditunggu compare Xiaomi 15amp15T Pro nya bang,ditunggu compare xiaomi 15amp15t pro nya bang,ditunggu compare xiaomi 15amp15t pro ya abang,1,15am 15am 15am
"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=39"">0:39</a> sue banget lu bang pake stiker poco ??????",a href sue banget lu bang pake stiker poco ,a href sue banget lu bang pake stiker poco ,a href sue banget kamu abang pakai stiker poco,1,a href sue really bro you use poco stickers
Komentar di penuhi xiaomi 17 pro max??,Komentar di penuhi xiaomi 17 pro max,komentar di penuhi xiaomi 17 pro max,komentar di penuhi xiaomi 17 pro max,1,Comments are full on Xiaomi 17 Pro Max
"Bang, nanti bahas Xiaomi 17 Pro Max bang",Bang nanti bahas Xiaomi 17 Pro Max bang,bang nanti bahas xiaomi 17 pro max bang,abang nanti bahas xiaomi 17 pro max abang,1,"I'll discuss the Xiaomi 17 Pro Max later, bro"
sehari bareng yang basic Iphone 17 bang.,sehari bareng yang basic Iphone 17 bang,sehari bareng yang basic iphone 17 bang,sehari bareng yang basic iphone 17 abang,1,a day with my basic iPhone 17 brother
"moon maap lebih tertarik ke xiaomi 17 pro max, serius itu hype bgt <a href=""UCkszU2WH9gy1mb0dV-11UJg/E8MfY5u7JPSXkNAP95GAmAE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/ssIfY7OFG5OykQOpn4CQCw""></a>",moon maap lebih tertarik ke xiaomi 17 pro max serius itu hype bgt ,moon maap lebih tertarik ke xiaomi 17 pro max serius itu hype bgt ,moon maaf lebih tertarik ke xiaomi 17 pro max serius itu hype banget,0,"Moon, sorry, I'm more interested in the Xiaomi 17 Pro Max, seriously, it's really hype"
"bang riview Xiaomi 11 ultra buat tahun 2025 ini bang, Masi wort iy ga di harga 4jt an yg second",bang riview Xiaomi 11 ultra buat tahun  ini bang Masi wort iy ga di harga 4jt an yg second,bang riview xiaomi 11 ultra buat tahun  ini bang masi wort iy ga di harga 4jt an yg second,abang riview xiaomi 11 ultra buat tahun ini abang masih wort iya tidak di harga 4jt an yang second,1,"Bro, review of the Xiaomi 11 Ultra for this year, bro, it's still worth it, yes, no, at the price of 4 million, the second one"
Keren banget lu bang bantu iPhone buat ganti kerugian karna launching yang kehilangan ribuan triliun ????,Keren banget lu bang bantu iPhone buat ganti kerugian karna launching yang kehilangan ribuan triliun ,keren banget lu bang bantu iphone buat ganti kerugian karna launching yang kehilangan ribuan triliun ,keren banget kamu abang bantu iphone buat ganti kerugian karena launching yang kehilangan ribuan triliun,2,"It's really cool of you, brother, to help iPhone compensate for losses due to its launch which lost thousands of trillions"
CAKEP DARI MANA???<br>BAGI SY LEBIH CAKEP MODEL IPHONE 16.<br>IPHONE 17 = POCO,CAKEP DARI MANABAGI SY LEBIH CAKEP MODEL IPHONE 16IPHONE 17  POCO,cakep dari manabagi sy lebih cakep model iphone 16iphone 17  poco,cakep dari manabagi saya lebih cakep model iphone 16iphone 17 poco,0,"Where does it come from, for me the iPhone 16, iPhone 17 Poco model is prettier"
"Apple menyalin desain Xiaomi, dan Xiaomi menggunakan kembali desain lama untuk memberi tahu Apple.  <b>jika Anda akan menyalin desain saya, saya akan menyalin semua yang Anda miliki dan membuatnya lebih baik</b>",Apple menyalin desain Xiaomi dan Xiaomi menggunakan kembali desain lama untuk memberi tahu Apple  jika Anda akan menyalin desain saya saya akan menyalin semua yang Anda miliki dan membuatnya lebih baik,apple menyalin desain xiaomi dan xiaomi menggunakan kembali desain lama untuk memberi tahu apple  jika anda akan menyalin desain saya saya akan menyalin semua yang anda miliki dan membuatnya lebih baik,apple menyalin desain xiaomi dan xiaomi menggunakan kembali desain lama untuk memberi tahu apple jika anda akan menyalin desain saya saya akan menyalin semua yang anda miliki dan membuatnya lebih baik,0,apple copies xiaomi designs and xiaomi reuses old designs tell apple if you will copy my design i will copy everything you have and make it better
iri liat temen bisa hapus orang tanpa mikir hasilnya jelek ??,iri liat temen bisa hapus orang tanpa mikir hasilnya jelek ,iri liat temen bisa hapus orang tanpa mikir hasilnya jelek ,iri lihat teman bisa hapus orang tanpa mikir hasilnya jelek,1,I'm jealous that my friends can delete people without thinking the results are bad
Kocak banget yah malah di sengajain pake case yg ada tulisan poco nya ??,Kocak banget yah malah di sengajain pake case yg ada tulisan poco nya ,kocak banget yah malah di sengajain pake case yg ada tulisan poco nya ,kocak banget ya malah di sengajain pakai case yang ada tulisan poco ya,1,It's so funny that you even deliberately use a case that says poco on it
Nahhh itu yg dari daulu pgn gw bahas dari iphone ini kenapa klw mau pindah lensa harus stop recording depan ke kamera blkg. sedangkan android udah bisa di pause tinggal tap kamera depan ke blkg gmpg. sampe detik ini itu kelemahan ip yg paling gak bisa di trima,Nahhh itu yg dari daulu pgn gw bahas dari iphone ini kenapa klw mau pindah lensa harus stop recording depan ke kamera blkg sedangkan android udah bisa di pause tinggal tap kamera depan ke blkg gmpg sampe detik ini itu kelemahan ip yg paling gak bisa di trima,nahhh itu yg dari daulu pgn gw bahas dari iphone ini kenapa klw mau pindah lensa harus stop recording depan ke kamera blkg sedangkan android udah bisa di pause tinggal tap kamera depan ke blkg gmpg sampe detik ini itu kelemahan ip yg paling gak bisa di trima,nah itu yang dari daulu pengin gue bahas dari iphone ini kenapa kalau mau pindah lensa harus stop recording depan ke kamera blkg sedangkan android sudah bisa di pause tinggal tap kamera depan ke blkg gampang sampai detik ini itu kelemahan iphone yang paling tidak bisa di terima,0,"Well, that's what I've been wanting to discuss about the iPhone for a long time, why if you want to move the lens you have to stop recording from the front to the back camera, whereas on Android you can pause it, just tap the front camera to the back, it's easy until now, that's the most unacceptable weakness of the iPhone."
"jadi ini yang MAX , beda judul bang",jadi ini yang MAX  beda judul bang,jadi ini yang max  beda judul bang,jadi ini yang max beda judul abang,1,"So this is Max's different title, bro"
